# VMT_RVA	ClassName	InstanceSize	ParentVMT	PublishedMethodCount
4feb20	TFieldsCache	0x20	0x401970	0
4ff540	TDictionary<System.string,System.Cardinal>.TKeyEnumerator	0x20	0x570ba0	0
4ff7e8	TDictionary<System.string,System.Cardinal>.TKeyCollection	0x18	0x570d78	0
4ffae0	TDictionary<System.string,System.Cardinal>.TValueEnumerator	0x20	0x736070	0
4ffd88	TDictionary<System.string,System.Cardinal>.TValueCollection	0x18	0x736250	0
500080	TDictionary<System.string,System.Cardinal>.TPairEnumerator	0x20	0x4fee98	0
500328	TDictionary<System.string,System.Cardinal>	0x60	0x4ff0d8	0
501f18	TEnumerator<System.Classes.TFieldsCache.TFields>	0x10	0x401970	0
502118	TEnumerable<System.Classes.TFieldsCache.TFields>	0x10	0x401970	0
502c48	TDictionary<System.TClass,System.Classes.TFieldsCache.TFields>	0x60	0x501320	0
504818	TList<System.TClass>.TEnumerator	0x20	0x80ff80	0
504a80	TList<System.TClass>	0x58	0x810158	0
5093d0	TList.Sort$ActRec	0x30	0x4035e8	0
512eb8	TPropFixup	0x38	0x401970	0
5131e8	TPropIntfFixup	0x38	0x512e08	0
5133d0	TEnumerator<System.Classes.TPropFixup>	0x10	0x401970	0
5135c0	TEnumerable<System.Classes.TPropFixup>	0x10	0x401970	0
513ac8	TList<System.Classes.TPropFixup>.TEnumerator	0x20	0x513320	0
513d50	TList<System.Classes.TPropFixup>	0x58	0x513510	0
5153e0	TThreadList<System.Classes.TPropFixup>	0x28	0x401970	0
51e6f0	TEnumerator<System.Classes.TPersistent>	0x10	0x401970	0
51e8e0	TEnumerable<System.Classes.TPersistent>	0x10	0x401970	0
51edf8	TList<System.Classes.TPersistent>.TEnumerator	0x20	0x51e640	0
51f080	TList<System.Classes.TPersistent>	0x58	0x51e830	0
520710	TExternalThread	0x50	0x4d8d90	0
5209b0	TEnumerator<System.Classes.TThread>	0x10	0x401970	0
520b98	TEnumerable<System.Classes.TThread>	0x10	0x401970	0
521098	TList<System.Classes.TThread>.TEnumerator	0x20	0x520900	0
521310	TList<System.Classes.TThread>	0x58	0x520ae8	0
522998	TThreadList<System.Classes.TThread>	0x28	0x401970	0
525798	TComparer<System.Classes.TComponent>	0x28	0x4035e8	0
525a68	TDelegatedComparer<System.Classes.TComponent>	0x30	0x5256e8	0
526580	InitObservers$ActRec	0x38	0x4035e8	0
52cb18	TMultiWaitEventImpl	0x20	0x41ff08	0
53c760	TWideStringsEnumerator	0x20	0x401970	0
53c9f8	TWideStrings	0x38	0x4c9a90	0
53df58	TWideStringList	0x78	0x53c948	0
54abd0	EGnuGettext	0x38	0x42dff8	0
54ad00	EGGProgrammingError	0x38	0x54ab20	0
54ae40	EGGComponentError	0x38	0x54ab20	0
54af70	EGGIOError	0x38	0x54ab20	0
54b0a0	IMoFile	0x10	0x401970	0
54b1b8	TMoFile	0x50	0x401970	0
54b2c8	TDomain	0x58	0x401970	0
54b428	TExecutable	0x10	0x401970	0
